company,director,genre,name,rating,star,writer
Rastar Films,Jack Fisk,Drama,Violets Are Blue...,PG-13,Sissy Spacek,Naomi Foner
Portreeve,Simon Langton,Thriller,The Whistle Blower,PG,Michael Caine,Julian Bond
American Playhouse,Jerrold Freedman,Drama,Native Son,PG,Victor Love,Richard Wesley
Carson Productions,Eugene Corr,Drama,Desert Bloom,PG,Jon Voight,Linda Remy
Alternate Current,Lizzie Borden,Drama,Working Girls,UNRATED,Louise Smith,Lizzie Borden
Ciné Valse,Bertrand Blier,Comedy,Ménage,Not specified,Gérard Depardieu,Bertrand Blier
Caméras Continentales,Henning Carlsen,Biography,Oviri,R,Donald Sutherland,Henning Carlsen
Film Corporation of Kenya,Raju Patel,Action,In the Shadow of Kilimanjaro,R,John Rhys-Davies,T. Michael Harry
Cineplex-Odeon Films,Tim Burstall,Drama,Kangaroo,R,Colin Friels,Evan Jones
Cannon Group,Albert Pyun,Action,Dangerously Close,R,John Stockwell,Scott Fields
Hyperion Pictures,Carroll Ballard,Family,Nutcracker,G,Hugh Bigney,Kent Stowell
Produzioni Europee Associate (PEA),Federico Fellini,Comedy,Ginger and Fred,PG-13,Marcello Mastroianni,Federico Fellini
Metro-Goldwyn-Mayer (MGM),Alan J. Pakula,Crime,Dream Lover,R,Kristy McNichol,Jon Boorstin
MTM Enterprises,Allan Burns,Drama,Just Between Friends,PG-13,Mary Tyler Moore,Allan Burns
Lynn-Davis Productions,Gary Hudson,Action,Thunder Run,PG-13,Forrest Tucker,Charles Davis
Longshot,Paul Bartel,Comedy,The Longshot,PG-13,Tim Conway,Tim Conway
Silver Screen Partners II,Michael Dinner,Comedy,Off Beat,PG,Judge Reinhold,Dezsö Magyar
Roundhouse,Joe Roth,Drama,Streets of Gold,R,Klaus Maria Brandauer,Dezsö Magyar
Convy-Fimberg Productions,Bert Convy,Action,Weekend Warriors,R,Chris Lemmon,Bruce Belland
J&M; Entertainment,Zoran Perisic,Action,Sky Bandits,PG,Scott McGinnis,Thom Keyes
Cinetel Films,Fred Olen Ray,Action,Armed Response,R,David Carradine,T.L. Lankford
Cannon City Produktie Maatschappij B.V.,Franco Zeffirelli,Drama,Otello,PG,Plácido Domingo,Arrigo Boito
Alliance Communications Corporation,Rob Nilsson,Drama,On the Edge,PG-13,Bruce Dern,Roy Kissin
Action Communications,Frank Harris,Action,Low Blow,R,Leo Fong,Leo Fong
Cote Blanche Productions,Glen Pitre,Drama,Belizaire the Cajun,PG,Armand Assante,Glen Pitre
Les Films 13,Claude Lelouch,Drama,A Man and a Woman: 20 Years Later,PG,Anouk Aimée,Claude Lelouch
New Line Cinema,Clay Borris,Action,Quiet Cool,R,James Remar,Clay Borris
Not specified,Gideon Amir,Action,Behind Enemy Lines,R,David Carradine,Malcolm Barbour
Not specified,Francis Schaeffer,Action,Wired to Kill,R,Emily Longstreth,Francis Schaeffer
Fringe Dwellers Productions,Bruce Beresford,Drama,The Fringe Dwellers,PG,Kristina Nehm,Bruce Beresford
T. Films,André Téchiné,Crime,Scene of the Crime,Not specified,Nicolas Giraudi,André Téchiné
Hanna-Barbera Productions,Don Lusk,Animation,GoBots: Battle of the Rock Lords,G,Margot Kidder,Jeff Segal
Channel Four Films,Charles Gormley,Comedy,The Gospel According to Vic,PG,Tom Conti,Charles Gormley
Grace,Dominic Orlando,Action,Knights of the City,R,Leon Isaac Kennedy,Leon Isaac Kennedy
Embassy Pictures,Robert M. Young,Comedy,Saving Grace,PG,Tom Conti,Celia Gittelson
Hunter/MFG Production,Gary Grillo,Action,Jackals,R,Jack Lucarelli,Dennis A. Pratt
Cannon Films,Filippo Ottoni,Comedy,Detective School Dropouts,PG,David Landsberg,Lorin Dreyfuss
CBS Entertainment Production,Christopher Cain,Adventure,Where the River Runs Black,PG,Charles Durning,Neal Jimenez
DIC Entertainment,Bruno Bianchi,Family,Heathcliff: The Movie,G,Mel Blanc,George Gately
AAR Films,Dennis Klein,Comedy,One More Saturday Night,R,Tom Davis,Tom Davis
Act III Communications,Rob Reiner,Adventure,The Princess Bride,PG,Cary Elwes,William Goldman
Cinemarque Entertainment BV,Clive Barker,Horror,Hellraiser,R,Andrew Robinson,Clive Barker
Natant,Stanley Kubrick,Drama,Full Metal Jacket,R,Matthew Modine,Gustav Hasford
Great American Films Limited Partnership,Emile Ardolino,Drama,Dirty Dancing,PG-13,Patrick Swayze,Eleanor Bergstein
Warner Bros.,Joel Schumacher,Comedy,The Lost Boys,R,Jason Patric,Jan Fischer
Amercent Films,John McTiernan,Action,Predator,R,Arnold Schwarzenegger,Jim Thomas
Braveworld Productions,Paul Michael Glaser,Action,The Running Man,R,Arnold Schwarzenegger,Stephen King
Brooksfilms,Mel Brooks,Adventure,Spaceballs,PG,Mel Brooks,Mel Brooks
Orion Pictures,Paul Verhoeven,Action,RoboCop,R,Peter Weller,Edward Neumeier
Warner Bros.,Richard Donner,Action,Lethal Weapon,R,Mel Gibson,Shane Black
Paramount Pictures,Brian De Palma,Crime,The Untouchables,R,Kevin Costner,Oscar Fraley
De Laurentiis Entertainment Group (DEG),Sam Raimi,Comedy,Evil Dead II,R,Bruce Campbell,Sam Raimi
Golan-Globus Productions,Gary Goddard,Action,Masters of the Universe,PG,Dolph Lundgren,David Odell
Home Box Office (HBO),Fred Dekker,Action,The Monster Squad,PG-13,Andre Gower,Shane Black
Paramount Pictures,Adrian Lyne,Drama,Fatal Attraction,R,Michael Douglas,James Dearden
Eon Productions,John Glen,Action,The Living Daylights,PG,Timothy Dalton,Richard Maibaum
Twentieth Century Fox Film Corporation,Oliver Stone,Crime,Wall Street,R,Charlie Sheen,Stanley Weiser
Amblin Entertainment,Steven Spielberg,Drama,Empire of the Sun,PG,Christian Bale,Tom Stoppard
Apollo Pictures,Steve Rash,Comedy,Can't Buy Me Love,PG-13,Patrick Dempsey,Michael Swerdlick
Warner Bros.,George Miller,Comedy,The Witches of Eastwick,R,Jack Nicholson,John Updike
Paramount Pictures,Carl Reiner,Comedy,Summer School,PG-13,Mark Harmon,Stuart Birnbaum
New Line Cinema,Chuck Russell,Action,A Nightmare on Elm Street 3: Dream Warriors,R,Heather Langenkamp,Wes Craven
Touchstone Pictures,Chris Columbus,Action,Adventures in Babysitting,PG-13,Elisabeth Shue,David Simkins
RKO Pictures,John Irvin,Action,Hamburger Hill,R,Anthony Barrile,James Carabatsos
Universal Pictures,Joseph Sargent,Adventure,Jaws: The Revenge,PG-13,Lorraine Gary,Peter Benchley
Cannon Group,Menahem Golan,Action,Over the Top,PG,Sylvester Stallone,Gary Conway
Paramount Pictures,John Hughes,Comedy,"Planes, Trains & Automobiles",R,Steve Martin,John Hughes
Circle Films,Joel Coen,Comedy,Raising Arizona,PG-13,Nicolas Cage,Ethan Coen
Carolco International N.V.,Alan Parker,Horror,Angel Heart,R,Mickey Rourke,William Hjortsberg
Hughes Entertainment,Howard Deutch,Drama,Some Kind of Wonderful,PG-13,Eric Stoltz,John Hughes
Gladden Entertainment,Michael Gottlieb,Comedy,Mannequin,PG,Andrew McCarthy,Edward Rugoff
