company,director,genre,name,rating,star,writer
Columbia Pictures,Les Mayfield,Action,Blue Streak,PG-13,Martin Lawrence,Michael Berry
Broadway Pictures,Bruce McCulloch,Comedy,Superstar,PG-13,Molly Shannon,Molly Shannon
Canal+ Droits Audiovisuels,Andrew Fleming,Comedy,Dick,PG-13,Kirsten Dunst,Andrew Fleming
Walt Disney Pictures,James Algar,Animation,Fantasia 2000,G,James Levine,Eric Goldberg
Irish Screen,Justin Kerrigan,Comedy,Human Traffic,R,John Simm,Justin Kerrigan
Screen Gems,Mark Pellington,Crime,Arlington Road,R,Jeff Bridges,Ehren Kruger
Mandeville Films,Garry Marshall,Comedy,The Other Sister,PG-13,Juliette Lewis,Alexandra Rose
Fox 2000 Pictures,Andy Tennant,Drama,Anna and the King,PG-13,Jodie Foster,Anna Leonowens
DreamWorks,Peter Ho-Sun Chan,Comedy,The Love Letter,PG-13,Kate Capshaw,Cathleen Schine
DreamWorks,Bronwen Hughes,Comedy,Forces of Nature,PG-13,Sandra Bullock,Marc Lawrence
40 Acres & A Mule Filmworks,Malcolm D. Lee,Comedy,The Best Man,R,Taye Diggs,Malcolm D. Lee
David Brown Productions,Alan Parker,Drama,Angela's Ashes,R,Emily Watson,Frank McCourt
Columbia Pictures Corporation,Neil Jordan,Drama,The End of the Affair,R,Ralph Fiennes,Graham Greene
Warner Bros.,Clint Eastwood,Crime,True Crime,R,Clint Eastwood,Andrew Klavan
Columbia Pictures Corporation,Sidney Lumet,Crime,Gloria,R,Sharon Stone,John Cassavetes
Imagine Entertainment,Ron Howard,Comedy,Edtv,PG-13,Matthew McConaughey,Émile Gaudreault
Spyglass Entertainment,Jon Turteltaub,Drama,Instinct,R,Anthony Hopkins,Gerald Di Pego
Columbia Pictures Corporation,Sydney Pollack,Drama,Random Hearts,R,Harrison Ford,Warren Adler
Bona Fide Productions,Rick Famuyiwa,Comedy,The Wood,R,Elayn J. Taylor,Rick Famuyiwa
Mutual Film Company,John Bruno,Action,Virus,R,Jamie Lee Curtis,Chuck Pfarrer
Artisan Entertainment,Steven Soderbergh,Crime,The Limey,R,Terence Stamp,Lem Dobbs
Crystal Sky Worldwide,Bob Clark,Comedy,Baby Geniuses,PG,Kathleen Turner,Steven Paul
Miramax,Tony Goldwyn,Drama,A Walk on the Moon,R,Diane Lane,Pamela Gray
Channel Four Films,Tim Roth,Drama,The War Zone,R,Ray Winstone,Alexander Stuart
Arts Council of England,Oliver Parker,Comedy,An Ideal Husband,PG-13,Rupert Everett,Oscar Wilde
Castle Rock Entertainment,Rob Reiner,Comedy,The Story of Us,R,Bruce Willis,Alan Zweibel
Play It Inc.,Ron Shelton,Comedy,Play It to the Bone,R,Woody Harrelson,Ron Shelton
3 Miles Apart Productions Ltd.,Mike Newell,Comedy,Pushing Tin,R,John Cusack,Darcy Frey
AMLF,Claude Zidi,Adventure,Asterix and Obelix vs. Caesar,Not specified,Christian Clavier,René Goscinny
Alliance Atlantis Communications,István Szabó,Drama,Sunshine,R,Ralph Fiennes,István Szabó
FilmFour,Damien O'Donnell,Comedy,East Is East,R,Om Puri,Ayub Khan-Din
Columbia Pictures Corporation,Ulu Grosbard,Drama,The Deep End of the Ocean,PG-13,Michelle Pfeiffer,Jacquelyn Mitchard
New Regency Pictures,Mark Tarlov,Comedy,Simplemente irresistible,PG-13,Sarah Michelle Gellar,Judith Roberts
Sweetland Films,Woody Allen,Comedy,Sweet and Lowdown,PG-13,Sean Penn,Woody Allen
Castle Rock Entertainment,Kelly Makin,Comedy,Mickey Blue Eyes,PG-13,Hugh Grant,Adam Scheinman
India Take One Productions,Jane Campion,Drama,Holy Smoke,R,Kate Winslet,Anna Campion
Craven-Maddalena Films,Wes Craven,Drama,Music of the Heart,PG,Meryl Streep,Pamela Gray
Dogstar Films,Risa Bramon Garcia,Comedy,200 Cigarettes,R,Ben Affleck,Shana Larsen
Fox 2000 Pictures,Wayne Wang,Comedy,Anywhere But Here,PG-13,Susan Sarandon,Mona Simpson
Miramax,Kevin Williamson,Comedy,Teaching Mrs. Tingle,PG-13,Helen Mirren,Kevin Williamson
Shooting Gallery,Hampton Fancher,Crime,The Minus Man,R,Owen Wilson,Lew McCreary
Walt Disney Pictures,Donald Petrie,Comedy,My Favorite Martian,PG,Christopher Lloyd,John L. Greene
Columbia Pictures,Peter Kassovitz,Drama,Jakob the Liar,PG-13,Robin Williams,Jurek Becker
Toho Pictures,Takao Okawara,Action,Godzilla 2000,PG,Hiroshi Abe,Hiroshi Kashiwabara
Metro-Goldwyn-Mayer (MGM),Irwin Winkler,Drama,At First Sight,PG-13,Val Kilmer,Oliver Sacks
Universal Pictures,Ang Lee,Drama,Ride with the Devil,R,Tobey Maguire,Daniel Woodrell
Columbia Pictures Corporation,Antonio Banderas,Comedy,Crazy in Alabama,PG-13,Melanie Griffith,Mark Childress
Touchstone Pictures,Lawrence Kasdan,Comedy,Mumford,R,Loren Dean,Lawrence Kasdan
Cattleya,Franco Zeffirelli,Drama,Tea with Mussolini,PG,Maggie Smith,John Mortimer
Baumgarten-Prophet Entertainment,Mic Rodgers,Action,Universal Soldier: The Return,R,Jean-Claude Van Damme,Richard Rothstein
Beacon Communications,David Raynr,Comedy,Trippin',R,Deon Richmond,Gary Hardwick
Bandai Visual Company,Hiroyuki Okiura,Animation,Jin-Roh: The Wolf Brigade,R,Michael Dobson,Mamoru Oshii
Baumgarten-Prophet Entertainment,Jeff Franklin,Comedy,Love Stinks,R,French Stewart,Jeff Franklin
Jim Henson Pictures,Gary Halvorson,Adventure,The Adventures of Elmo in Grouchland,G,Kevin Clash,Mitchell Kriegman
New Line Cinema,Gary Sinyor,Comedy,The Bachelor,PG-13,Chris O'Donnell,Roi Cooper Megrue
4 Kids Entertainment,Michael Haigney,Animation,Pokémon: The Movie 2000,G,Rica Matsumoto,Satoshi Tajiri
New Line Cinema,Michael Cristofer,Drama,Body Shots,R,Joe Basile,David McKenna
Jim Henson Pictures,Tim Hill,Adventure,Muppets from Space,G,Dave Goelz,Jerry Juhl
Goldwyn Films,Mike Leigh,Biography,Topsy-Turvy,R,Jim Broadbent,Mike Leigh
Miramax,Michael Corrente,Comedy,Outside Providence,R,Shawn Hatosy,Peter Farrelly
Ambridge Film Partnership,Stephan Elliott,Drama,Eye of the Beholder,R,Ewan McGregor,Marc Behm
New Line Cinema,James Foley,Action,The Corruptor,R,Yun-Fat Chow,Robert Pucci
Woodline Productions,Peter Greenaway,Comedy,8 ½ Women,R,John Standing,Peter Greenaway
Varahonar Company,Majid Majidi,Adventure,The Color of Paradise,PG,Hossein Mahjoub,Majid Majidi
Elysian Dreams,Robert Altman,Comedy,Cookie's Fortune,PG-13,Glenn Close,Anne Rapp
Universal Pictures,Scott Hicks,Drama,Snow Falling on Cedars,PG-13,Ethan Hawke,David Guterson
Pathé Pictures International,Lynne Ramsay,Drama,Ratcatcher,NOT RATED,Tommy Flanagan,Lynne Ramsay
Dogstar Films,Mike Barker,Crime,Best Laid Plans,R,Alessandro Nivola,Ted Griffin
Good Machine,Jim Fall,Comedy,Trick,R,Christian Campbell,Jason Schafer
La Sept-Arte,Claire Denis,Drama,Beau Travail,UNRATED,Denis Lavant,Claire Denis
Newmarket Capital Group,Mike Figgis,Drama,The Loss of Sexual Innocence,R,Julian Sands,Mike Figgis
Warner Bros.,Damon Santostefano,Comedy,Three to Tango,PG-13,Neve Campbell,Rodney Patrick Vaccaro
Kang Je-Kyu Film Co. Ltd.,Je-kyu Kang,Action,Swiri,R,Suk-kyu Han,Je-kyu Kang
Franchise Pictures,John Swanbeck,Drama,The Big Kahuna,R,Kevin Spacey,Roger Rueff
Bandeira Entertainment,Colette Burson,Comedy,Coming Soon,R,Bonnie Root,Colette Burson
American Entertainment Investors,Chris Roberts,Action,Wing Commander,PG-13,Freddie Prinze Jr.,Chris Roberts
Amblin Entertainment,Neil Jordan,Drama,In Dreams,R,Annette Bening,Bari Wood
Morgan Creek Productions,Richard Rich,Animation,The King and I,G,Miranda Richardson,Oscar Hammerstein II
Senator Film Produktion,Max Färberböck,Biography,Aimee & Jaguar,NOT RATED,Maria Schrader,Max Färberböck
Dimension Films,Michael Rymer,Crime,In Too Deep,R,Omar Epps,Michael Henry Brown
391 Productions,Harmony Korine,Comedy,Julien Donkey-Boy,R,Ewen Bremner,Harmony Korine
ARP Sélection,Jean-Pierre Dardenne,Drama,Rosetta,R,Émilie Dequenne,Jean-Pierre Dardenne
Bandai Visual Company,Takeshi Kitano,Drama,Kikujiro,PG-13,Takeshi Kitano,Takeshi Kitano
Flying Heart Films,Alan Rudolph,Comedy,Breakfast of Champions,R,Bruce Willis,Kurt Vonnegut Jr.
Cherry Alley Productions,Sam Weisman,Comedy,The Out-of-Towners,PG-13,Steve Martin,Neil Simon
Bigel / Mailer Films,James Toback,Crime,Black & White,R,Ben Stiller,James Toback
Arts Council of England,Jake Scott,Action,Plunkett & Macleane,R,Robert Carlyle,Selwyn Roberts
Cradle Productions Inc.,Tim Robbins,Drama,Cradle Will Rock,R,Hank Azaria,Tim Robbins
Metro-Goldwyn-Mayer (MGM),Scott Silver,Action,The Mod Squad,R,Claire Danes,Buddy Ruskin
Evenstar Films,Alison Maclean,Drama,Jesus' Son,R,Billy Crudup,Denis Johnson
Universal Pictures,Hugh Wilson,Comedy,Dudley Do-Right,PG,Brendan Fraser,Jay Ward
Alcon Entertainment,Jeff Pollack,Comedy,Lost & Found,PG-13,David Spade,J.B. Cook
Beaver Productions,Richard Attenborough,Biography,Grey Owl,PG-13,Pierce Brosnan,William Nicholson
Destination Films,Louis Morneau,Horror,Bats,PG-13,Lou Diamond Phillips,John Logan
Global Entertainment Productions GmbH & Company Medien KG,Kevin Alyn Elders,Action,Rescate explosivo,PG-13,Dennis Rodman,Moshe Diamant
October Films,Albert Brooks,Comedy,The Muse,PG-13,Albert Brooks,Albert Brooks
Santa Monica Holdings,Lloyd Kaufman,Comedy,Terror Firmer,R,Will Keenan,Patrick Cassidy
Morgan Creek Productions,Hugh Johnson,Action,Chill Factor,R,Cuba Gooding Jr.,Drew Gitlin
7 Arts International,Martha Fiennes,Drama,Onegin,R,Ralph Fiennes,Peter Ettedgui
Tenafly Film Company,Eric Weber,Comedy,Suits,R,Robert Klein,Eric Weber
Alliance Atlantis Communications,Shane Meadows,Comedy,A Room for Romeo Brass,R,Martin Arrowsmith,Robyn Slovo
Absolute Entertainment (II),John Duigan,Comedy,Molly,PG-13,Elisabeth Shue,Richard Christie
The Noel Gay Motion Picture Company,Nick Hurran,Comedy,Virtual Sexuality,R,Laura Fraser,Chloe Rayban
Canal+,Patrice Leconte,Comedy,The Girl on the Bridge,R,Vanessa Paradis,Serge Frydman
MK2 Productions,Abbas Kiarostami,Drama,The Wind Will Carry Us,NOT RATED,Behzad Dorani,Abbas Kiarostami
Desperate Pictures,Gregg Araki,Comedy,Splendor,R,Kathleen Robertson,Gregg Araki
Marked Entertainment,Mark Illsley,Comedy,"Happy, Texas",PG-13,Jeremy Northam,Ed Stone
Baltimore Pictures,Barry Levinson,Drama,Liberty Heights,R,Adrien Brody,Barry Levinson
Hell's Kitchen Films,Anjelica Huston,Comedy,Agnes Browne,R,Anjelica Huston,Brendan O'Carroll
Bac Films,Marc Levin,Drama,Whiteboyz,R,Danny Hoch,Garth Belcon
Emotion Pictures,Matthew Warchus,Drama,Simpatico,R,Nick Nolte,Sam Shepard
Enigma Productions,Hugh Hudson,Biography,My Life So Far,PG-13,Colin Firth,Denis Forman
Gemini Films,Raoul Ruiz,Drama,Marcel Proust's Time Regained,Not specified,Catherine Deneuve,Marcel Proust
Rajshri Productions,Sooraj R. Barjatya,Musical,Hum Saath-Saath Hain: We Stand United,Not specified,Salman Khan,Sooraj R. Barjatya
Daiei Motion Picture Company,Takashi Miike,Action,Dead or Alive,R,Shô Aikawa,Ichiro Ryu
Winslow Partners Ltd.,David Mamet,Drama,The Winslow Boy,G,Rebecca Pidgeon,Terence Rattigan
Columbia Pictures Film Production Asia,Yimou Zhang,Drama,The Road Home,G,Ziyi Zhang,Shi Bao
3B Productions,Bruno Dumont,Drama,Humanité,Not specified,Emmanuel Schotté,Bruno Dumont
C.E.O. Films,George Haas,Drama,Friends & Lovers,R,Stephen Baldwin,Neill Barry
Spanky Pictures,Gavin O'Connor,Drama,Tumbleweeds,PG-13,Janet McTeer,Angela Shelton
Cinerenta Medienbeteiligungs KG,Scott Elliott,Drama,A Map of the World,R,Sigourney Weaver,Jane Hamilton
Code Productions,Robert Marcarelli,Action,The Omega Code,PG-13,Casper Van Dien,Stephan Blinn
Artisan Entertainment,Darren Aronofsky,Drama,Requiem for a Dream,R,Ellen Burstyn,Hubert Selby Jr.
DreamWorks,Ridley Scott,Action,Gladiator,R,Russell Crowe,David Franzoni
Am Psycho Productions,Mary Harron,Crime,American Psycho,R,Christian Bale,Bret Easton Ellis
Columbia Pictures Corporation,Roland Emmerich,Action,The Patriot,R,Mel Gibson,Robert Rodat
Newmarket Capital Group,Christopher Nolan,Mystery,Memento,R,Guy Pearce,Christopher Nolan
Columbia Pictures Corporation,Guy Ritchie,Comedy,Snatch,R,Jason Statham,Guy Ritchie
Jerry Bruckheimer Films,Boaz Yakin,Biography,Remember the Titans,PG,Denzel Washington,Gregory Allen Howard
Touchstone Pictures,M. Night Shyamalan,Drama,Unbreakable,PG-13,Bruce Willis,M. Night Shyamalan
Columbia Pictures,Cameron Crowe,Adventure,Almost Famous,R,Billy Crudup,Cameron Crowe
Twentieth Century Fox Film Corporation,Robert Zemeckis,Adventure,Cast Away,PG-13,Tom Hanks,William Broyles Jr.
Twentieth Century Fox Film Corporation,Bryan Singer,Action,X-Men,PG-13,Patrick Stewart,Tom DeSanto
Columbia Pictures Corporation,Paul Verhoeven,Action,Hollow Man,R,Kevin Bacon,Gary Scott Thompson
Dimension Films,Keenen Ivory Wayans,Comedy,Scary Movie,R,Anna Faris,Shawn Wayans
Figment Films,Danny Boyle,Adventure,The Beach,R,Leonardo DiCaprio,John Hodge
DreamWorks,Robert Zemeckis,Drama,What Lies Beneath,PG-13,Harrison Ford,Clark Gregg
Medusa Film,Giuseppe Tornatore,Comedy,Malèna,R,Monica Bellucci,Giuseppe Tornatore
New Line Cinema,James Wong,Horror,Final Destination,R,Devon Sawa,Glen Morgan
Columbia Pictures Corporation,McG,Action,Charlie's Angels,PG-13,Cameron Diaz,Ryan Rowe
DreamWorks,Todd Phillips,Adventure,Road Trip,R,Breckin Meyer,Todd Phillips
Touchstone Pictures,Joel Coen,Adventure,"O Brother, Where Art Thou?",PG-13,George Clooney,Homer
Touchstone Pictures,Dominic Sena,Action,Gone in Sixty Seconds,PG-13,Nicolas Cage,H.B. Halicki
New Line Cinema,Tarsem Singh,Horror,The Cell,R,Jennifer Lopez,Mark Protosevich
Asia Union Film & Entertainment Ltd.,Ang Lee,Action,"Crouching Tiger, Hidden Dragon",PG-13,Yun-Fat Chow,Du Lu Wang
Universal Pictures,Ron Howard,Comedy,How the Grinch Stole Christmas,PG,Jim Carrey,Dr. Seuss
Touchstone Pictures,Brian De Palma,Adventure,Mission to Mars,PG,Tim Robbins,Lowell Cannon
Paramount Pictures,John Woo,Action,Mission: Impossible II,PG-13,Tom Cruise,Bruce Geller
Beacon Communications,Peyton Reed,Comedy,Bring It On,PG-13,Kirsten Dunst,Jessica Bendinger
Universal Pictures,Steven Soderbergh,Biography,Erin Brockovich,R,Julia Roberts,Susannah Grant
Block 2 Pictures,Kar-Wai Wong,Drama,In the Mood for Love,PG,Tony Chiu-Wai Leung,Kar-Wai Wong
Castle Rock Entertainment,Donald Petrie,Action,Miss Congeniality,PG-13,Sandra Bullock,Marc Lawrence
Miramax,Lasse Hallström,Drama,Chocolat,PG-13,Juliette Binoche,Joanne Harris
Paramount Pictures,Nancy Meyers,Comedy,What Women Want,PG-13,Mel Gibson,Josh Goldsmith
Avery Pix,Steven Brill,Comedy,Little Nicky,PG-13,Adam Sandler,Tim Herlihy
"Bedford Falls Company, The",Steven Soderbergh,Crime,Traffic,R,Michael Douglas,Simon Moore
Jerry Bruckheimer Films,David McNally,Comedy,Coyote Ugly,PG-13,Piper Perabo,Gina Wendkos
Walt Disney Feature Animation,Mark Dindal,Animation,The Emperor's New Groove,G,David Spade,Chris Williams
Warner Bros.,Roger Christian,Action,Battlefield Earth,PG-13,John Travolta,Corey Mandell
DreamWorks Animation,Bibo Bergeron,Animation,The Road to El Dorado,PG,Kevin Kline,Terry Rossio
Polygram Filmed Entertainment,David Twohy,Horror,Pitch Black,R,Radha Mitchell,Jim Wheat
Bel Air Entertainment,Howard Deutch,Comedy,The Replacements,PG-13,Keanu Reeves,Vince McKewin
StudioCanal,Stephen Daldry,Drama,Billy Elliot,R,Jamie Bell,Lee Hall
Altavista Films,Alejandro González Iñárritu,Drama,Amores Perros,R,Emilio Echevarría,Guillermo Arriaga
Touchstone Pictures,Stephen Frears,Comedy,High Fidelity,R,John Cusack,Nick Hornby
Twentieth Century Fox Film Corporation,Bobby Farrelly,Comedy,"Me, Myself & Irene",R,Jim Carrey,Peter Farrelly
Bootmen Productions (Hilary Linstead-Dein Perry),Dein Perry,Comedy,Bootmen,R,Vaughan Sheffield,Steve Worland
Castle Rock Entertainment,Christopher Guest,Comedy,Best in Show,PG-13,Fred Willard,Christopher Guest
Zentropa Entertainments,Lars von Trier,Crime,Bailando en la oscuridad,R,Björk,Lars von Trier
Walt Disney Pictures,Eric Leighton,Animation,Dinosaur,PG,D.B. Sweeney,Thom Enriquez
Recorded Picture Company (RPC),Jonathan Glazer,Crime,Sexy Beast,R,Ray Winstone,Louis Mellis
Twentieth Century Fox Film Corporation,Harold Ramis,Comedy,Bedazzled,PG-13,Brendan Fraser,Peter Cook
Universal Pictures,Jay Roach,Comedy,Meet the Parents,PG-13,Ben Stiller,Greg Glienna
Dimension Films,Wes Craven,Horror,Scream 3,R,David Arquette,Kevin Williamson
New Line Cinema,Gregory Hoblit,Crime,Frequency,PG-13,Dennis Quaid,Toby Emmerich
Aardman Animations,Peter Lord,Animation,Chicken Run,G,Mel Gibson,Peter Lord
Fox 2000 Pictures,George Tillman Jr.,Biography,Men of Honor,R,Cuba Gooding Jr.,Scott Marshall Smith
Warner Bros.,Wolfgang Petersen,Action,The Perfect Storm,PG-13,George Clooney,Sebastian Junger
Paramount Pictures,John Singleton,Action,Shaft,R,Samuel L. Jackson,Ernest Tidyman
Franchise Pictures,Jonathan Lynn,Comedy,The Whole Nine Yards,R,Bruce Willis,Mitchell Kapner
New Line Cinema,Roger Donaldson,Drama,Thirteen Days,PG-13,Kevin Costner,David Self
Warner Bros.,Mimi Leder,Drama,Pay It Forward,PG-13,Kevin Spacey,Catherine Ryan Hyde
Fox Searchlight Pictures,Philip Kaufman,Biography,Quills,R,Geoffrey Rush,Doug Wright
Twentieth Century Fox Film Corporation,Danny Leiner,Comedy,"Dude, Where's My Car?",PG-13,Ashton Kutcher,Philip Stark
Twentieth Century Fox Film Corporation,Matt Williams,Comedy,Where the Heart Is,PG-13,Natalie Portman,Lowell Ganz
New Line Cinema,Ben Younger,Crime,Boiler Room,R,Giovanni Ribisi,Ben Younger
Universal Pictures,Brian Levant,Comedy,The Flintstones in Viva Rock Vegas,PG,Mark Addy,William Hanna
Universal Pictures,Peter Segal,Comedy,Nutty Professor II: The Klumps,PG-13,Eddie Murphy,Jerry Lewis
Columbia Pictures Corporation,Nicholas Hytner,Drama,Center Stage,PG-13,Amanda Schull,Carol Heikkinen
New Line Cinema,Steve Carr,Comedy,Next Friday,R,Ice Cube,Ice Cube
Lakeshore Entertainment,Sam Raimi,Drama,The Gift,R,Cate Blanchett,Billy Bob Thornton
Universal Pictures,Brett Ratner,Comedy,The Family Man,PG-13,Nicolas Cage,David Diamond
Copperheart Entertainment,John Fawcett,Drama,Feroz,UNRATED,Emily Perkins,Karen Walton
Twentieth Century Fox Film Corporation,Robert Redford,Drama,The Legend of Bagger Vance,PG-13,Will Smith,Steven Pressfield
Universal Pictures,Jonathan Mostow,Action,U-571: La batalla del Atlántico,PG-13,Matthew McConaughey,Jonathan Mostow
Spyglass Entertainment,Edward Norton,Comedy,Keeping the Faith,PG-13,Ben Stiller,Stuart Blumberg
Touchstone Pictures,Tom Dey,Action,Shanghai Noon,PG-13,Jackie Chan,Miles Millar
Columbia Pictures Corporation,Billy Bob Thornton,Drama,All the Pretty Horses,PG-13,Matt Damon,Cormac McCarthy
Twentieth Century Fox Film Corporation,Raja Gosnell,Action,Big Momma's House,PG-13,Martin Lawrence,Darryl Quarles
Max Films Productions,Denis Villeneuve,Drama,Maelstrom,R,Marie-Josée Croze,Denis Villeneuve
Clipsal Films,Clint Eastwood,Action,Space Cowboys,PG-13,Clint Eastwood,Ken Kaufman
Phoenix Pictures,Roger Spottiswoode,Action,The 6th Day,PG-13,Arnold Schwarzenegger,Cormac Wibberley
Columbia Pictures Corporation,Betty Thomas,Comedy,28 Days,PG-13,Sandra Bullock,Susannah Grant
Canal+,Virginie Despentes,Crime,Rape Me,UNRATED,Raffaëla Anderson,Virginie Despentes
Columbia Pictures Corporation,Martin Campbell,Action,Vertical Limit,PG-13,Scott Glenn,Robert King
George Litto Productions,Michael Dinner,Crime,The Crew,PG-13,Richard Dreyfuss,Barry Fanaro
40 Acres & A Mule Filmworks,Gina Prince-Bythewood,Drama,Love & Basketball,PG-13,Sanaa Lathan,Gina Prince-Bythewood
Warner Bros.,Andrzej Bartkowiak,Action,Romeo Must Die,R,Jet Li,Mitchell Kapner
Australian Film Finance Corporation (AFFC),Andrew Dominik,Biography,Chopper,UNRATED,Eric Bana,Mark Brandon Read
Hart-Sharp Entertainment,Kenneth Lonergan,Drama,You Can Count on Me,R,Laura Linney,Kenneth Lonergan
Dimension Films,Patrick Lussier,Action,Dracula 2000,R,Gerard Butler,Joel Soisson
Metro-Goldwyn-Mayer (MGM),Joan Chen,Drama,Autumn in New York,PG-13,Richard Gere,Allison Burnett
Columbia Pictures Corporation,Gus Van Sant,Drama,Finding Forrester,PG-13,Sean Connery,Mike Rich
David Kirschner Productions,Don Bluth,Animation,Titan A.E.,PG,Matt Damon,Hans Bauer
Saturn Films,E. Elias Merhige,Drama,Shadow of the Vampire,R,John Malkovich,Steven Katz
Columbia Pictures Corporation,David Raynr,Comedy,Whatever It Takes,PG-13,Shane West,Mark Schwahn
New Line Cinema,Courtney Solomon,Action,Dungeons & Dragons,PG-13,Justin Whalin,Topper Lilien
Capella International,Des McAnuff,Animation,The Adventures of Rocky & Bullwinkle,PG,Robert De Niro,Jay Ward
El Mar Pictures,Julian Schnabel,Biography,Antes que anochezca,R,Javier Bardem,Cunningham O'Keefe
Paramount Pictures,William Friedkin,Drama,Rules of Engagement,R,Tommy Lee Jones,Jim Webb
Dimension Films,John Frankenheimer,Action,Reindeer Games,R,Ben Affleck,Ehren Kruger
Warner Bros.,Antony Hoffman,Action,Red Planet,PG-13,Val Kilmer,Chuck Pfarrer
Cruella Productions,Kevin Lima,Adventure,102 Dalmatians,G,Glenn Close,Dodie Smith
Avrora Media,Uli Edel,Adventure,The Little Vampire,PG,Jonathan Lipnicki,Angela Sommer-Bodenburg
Haft Entertainment,Joel Schumacher,Drama,Tigerland,R,Colin Farrell,Ross Klavan
Branti Film Productions,Amy Heckerling,Comedy,Loser,PG-13,Jason Biggs,Amy Heckerling
Hammerhead Productions,Walter Hill,Horror,Supernova,PG-13,James Spader,William Malone
Revelations Entertainment,Stephen Hopkins,Crime,Bajo sospecha,R,Morgan Freeman,John Wainwright
British Broadcasting Corporation (BBC),Curtis Hanson,Comedy,Wonder Boys,R,Michael Douglas,Michael Chabon
Chester Films Inc.,Jon Turteltaub,Comedy,The Kid,PG,Bruce Willis,Audrey Wells
Morgan Creek Productions,Stephen Kay,Action,Get Carter,R,Sylvester Stallone,Ted Lewis
Metro-Goldwyn-Mayer (MGM),Bonnie Hunt,Comedy,Return to Me,PG,David Duchovny,Bonnie Hunt
FX Sound,Fabián Bielinsky,Crime,Nine Queens,R,Ricardo Darín,Fabián Bielinsky
Artisan Entertainment,Joe Berlinger,Adventure,Book of Shadows: Blair Witch 2,R,Jeffrey Donovan,Daniel Myrick
Miramax,James Gray,Crime,The Yards,R,Mark Wahlberg,James Gray
Castle Rock Entertainment,Taylor Hackford,Action,Proof of Life,R,Meg Ryan,Tony Gilroy
Bel Air Entertainment,Brian Robbins,Comedy,Ready to Rumble,PG-13,David Arquette,Steven Brill
Lewitt / Eberts Prouctions,Joe Charbanic,Crime,The Watcher,R,James Spader,Darcy Meyers
Universal Pictures,Rob Cohen,Action,The Skulls,PG-13,Joshua Jackson,John Pogue
Brant-Allen,Ed Harris,Biography,Pollock,R,Ed Harris,Steven Naifeh
Portman Entertainment Group,Nigel Cole,Comedy,Saving Grace,R,Brenda Blethyn,Mark Crowdy
Destination Films,Sally Field,Drama,Beautiful,PG-13,Minnie Driver,Jon Bernstein
Gaumont,Mathieu Kassovitz,Crime,The Crimson Rivers,R,Jean Reno,Jean-Christophe Grangé
Artisan Entertainment,Christopher McQuarrie,Action,The Way of the Gun,R,Ryan Phillippe,Christopher McQuarrie
Alcon Entertainment,Jay Russell,Comedy,My Dog Skip,PG,Frankie Muniz,Willie Morris
Artisan Entertainment,Robert Altman,Comedy,Dr. T & the Women,R,Richard Gere,Anne Rapp
Gullane Pictures,Britt Allcroft,Adventure,Thomas and the Magic Railroad,G,Alec Baldwin,Britt Allcroft
Columbia Pictures Corporation,Diane Keaton,Comedy,Hanging Up,PG-13,Diane Keaton,Delia Ephron
Punch 21 Productions,Robert Iscove,Comedy,Boys and Girls,PG-13,Freddie Prinze Jr.,Andrew Lowery
Davis-Panzer Productions,Douglas Aarniokoski,Action,Highlander: Endgame,R,Christopher Lambert,Gregory Widen
1+2 Seisaku Iinkai,Edward Yang,Drama,Yi Yi,NOT RATED,Nien-Jen Wu,Edward Yang
Open City Films,Kris Isacsson,Comedy,Down to You,PG-13,Freddie Prinze Jr.,Kris Isacsson
StudioCanal,Kathryn Bigelow,Crime,The Weight of Water,R,Catherine McCormack,Anita Shreve
Broadway Pictures,Reginald Hudlin,Comedy,The Ladies Man,R,Tim Meadows,Tim Meadows
DreamWorks,Woody Allen,Comedy,Small Time Crooks,PG,Woody Allen,Woody Allen
Cinerenta Medienbeteiligungs KG,Rod Lurie,Drama,The Contender,R,Joan Allen,Rod Lurie
Morgan Creek Productions,Christian Duguay,Action,The Art of War,R,Wesley Snipes,Wayne Beach
New Line Cinema,Spike Lee,Comedy,Bamboozled,R,Damon Wayans,Spike Lee
Canal+,Sally Potter,Drama,The Man Who Cried,R,Christina Ricci,Sally Potter
MFF Feature Film Productions,Chris Koch,Adventure,Snow Day,PG,Chevy Chase,Will McRobb
Working Dog,Rob Sitch,Comedy,The Dish,PG-13,Sam Neill,Santo Cilauro
FilmFour,Paul McGuigan,Crime,Gangster No. 1,R,Malcolm McDowell,Johnny Ferguson
Paramount Pictures,Stig Bergqvist,Animation,Rugrats in Paris: The Movie,G,Christine Cavanaugh,J. David Stem
Phoenix Pictures,John Ottman,Horror,Leyenda urbana 2,R,Jennifer Morrison,Silvio Horta
Miramax,Don Roos,Drama,Bounce,PG-13,Ben Affleck,Don Roos
NPV Entertainment,Davis Guggenheim,Drama,Gossip,R,James Marsden,Gregory Poirier
Paramount Pictures,Chuck Russell,Crime,Bless the Child,R,Kim Basinger,Cathy Cash Spellman
double A Films,Michael Almereyda,Drama,Hamlet,R,Ethan Hawke,William Shakespeare
13 Productions,Béla Tarr,Drama,Werckmeister Harmonies,Not specified,Lars Rudolph,László Krasznahorkai
Arte France Cinéma,Michael Haneke,Drama,Code Unknown,NOT RATED,Juliette Binoche,Michael Haneke
